item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q2576406,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Khmelnytskyi%20Oblast.png,en,literal,flag of Khmelnytskyi Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of khmelnytskyi oblast,
uri,http://www.wikidata.org/entity/Q2205158,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vinnytsia%20Oblast.svg,en,literal,flag of Vinnytsia Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of vinnytsia oblast,
uri,http://www.wikidata.org/entity/Q2403742,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kirovohrad%20Oblast.svg,en,literal,flag of Kirovohrad Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of kirovohrad oblast,
uri,http://www.wikidata.org/entity/Q1823647,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kharkiv%20Oblast.svg,en,literal,flag of Kharkiv Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of kharkiv oblast,
uri,http://www.wikidata.org/entity/Q1970274,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Hill%20of%20Glory%20in%20Lviv%20-%20memorial.jpg,en,literal,Hill of Glory,en,literal,memorial,,,,,,,,,,,,,hill of glory,
uri,http://www.wikidata.org/entity/Q1369729,,,en,literal,State Anthem of Crimea,en,literal,national anthem,,,,,,,,,,,,,state anthem of crimea,
uri,http://www.wikidata.org/entity/Q2088121,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sumy%20Oblast.png,en,literal,flag of Sumy Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of sumy oblast,
uri,http://www.wikidata.org/entity/Q2165848,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Donetsk.svg,en,literal,flag of Donetsk,en,literal,flag of populated place,,,,,,,,,,,,,flag of donetsk,
uri,http://www.wikidata.org/entity/Q1984710,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Bakhchysarai%2004-14%20img11%20Palace%20Fountain%20of%20Tears.jpg,en,literal,Fountain of Tears in Bakhchisaray Palace,en,literal,fountain,en,literal,Bakhchisaray Palace,,,,,,,,,,fountain of tears in bakhchisaray palace,
uri,http://www.wikidata.org/entity/Q2372702,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chernihiv%20Oblast.svg,en,literal,flag of Chernihiv Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of chernihiv oblast,
